Language,ID,Psychoticism,Extraversion,Neuroticism,Lie
UK-English,1064,2,1,10,4
UK-English,1065,1,3,10,12
UK-English,1066,0,5,5,10
UK-English,1067,2,7,7,3
UK-English,1068,2,6,11,6
UK-English,1069,0,5,3,7
UK-English,1070,2,11,10,8
UK-English,1071,0,8,4,7
UK-English,1072,1,8,12,9
UK-English,1073,2,5,12,6
UK-English,1074,0,3,9,5
UK-English,1075,1,8,6,10
UK-English,1076,1,5,11,5
UK-English,1077,0,2,12,5
UK-English,1078,2,6,8,8
UK-English,1080,0,5,10,9
UK-English,1081,4,9,5,2
UK-English,1083,0,5,10,6
UK-English,1085,3,5,5,8
UK-English,1086,1,12,3,8
UK-English,1087,0,5,8,9
UK-English,1088,1,4,8,5
UK-English,1090,0,10,8,6
UK-English,1091,0,12,5,4
UK-English,1093,2,2,11,9
UK-English,1094,0,12,0,7
UK-English,1096,0,10,12,11
UK-English,1097,0,5,8,9
UK-English,1098,0,3,12,2
UK-English,1100,1,1,12,4
UK-English,1101,0,6,11,2
UK-English,1102,0,6,2,7
UK-English,1103,4,11,0,7
UK-English,1104,0,10,8,8
UK-English,1105,0,3,4,6
UK-English,1106,0,5,6,9
UK-English,1107,1,1,12,8
UK-English,1108,2,2,9,4
UK-English,1109,0,3,4,4
UK-English,1110,0,3,10,11
UK-English,1111,0,8,9,6
UK-English,1112,1,5,3,7
UK-English,1113,0,7,4,8
UK-English,1114,0,5,8,6
UK-English,1115,0,7,12,8
UK-English,1116,0,8,9,9
UK-English,1117,1,9,5,6
UK-English,1118,0,6,6,2
UK-English,1119,0,6,9,5
UK-English,1120,1,10,5,10
UK-English,1121,0,9,10,8
UK-English,1122,0,12,3,9
UK-English,1125,0,10,7,8
UK-English,1126,1,6,11,5
UK-English,1127,0,9,3,1
UK-English,1128,1,12,3,4
UK-English,1129,0,5,8,0
UK-English,1130,0,12,5,4
UK-English,1131,1,6,6,2
UK-English,1133,0,9,10,3
UK-English,1134,1,9,4,6
UK-English,1135,0,9,5,7
UK-English,1137,2,9,10,2
UK-English,1138,2,12,3,11
UK-English,1140,2,8,11,2
UK-English,1141,0,9,11,10
UK-English,1142,1,10,11,10
UK-English,1143,1,4,10,6
UK-English,1144,2,10,8,1
UK-English,1145,1,8,11,6
UK-English,1146,2,10,11,1
UK-English,1147,0,7,7,8
UK-English,1148,1,9,8,4
UK-English,1149,2,9,11,3
UK-English,1150,0,5,6,4
UK-English,1151,1,2,6,9
UK-English,1152,0,4,5,1
UK-English,1153,4,3,9,8
UK-English,1154,2,8,4,5
UK-English,1155,0,5,12,3
UK-English,1156,0,6,9,5
UK-English,1157,1,6,10,5
UK-English,1158,0,5,9,9
UK-English,1159,0,12,7,4
UK-English,1160,2,12,4,2
UK-English,1161,1,12,6,7
UK-English,1162,1,0,12,3
UK-English,1163,1,9,10,7
UK-English,1164,1,12,1,10
UK-English,1165,1,9,2,3
UK-English,1166,1,6,11,4
UK-English,1168,1,11,10,7
UK-English,1169,2,8,12,3
UK-English,1170,0,5,9,5
UK-English,1171,0,4,11,7
UK-English,1172,0,9,9,6
UK-English,1173,0,1,8,5
UK-English,1174,0,11,5,10
UK-English,1175,0,11,5,1
UK-English,1176,1,5,10,2
UK-English,1177,1,12,8,9
UK-English,1178,0,12,6,1
UK-English,1179,2,12,5,8
UK-English,1180,1,9,4,11
UK-English,1182,0,6,6,7
UK-English,1183,0,8,7,9
UK-English,1184,1,12,0,8
UK-English,1185,0,8,10,1
UK-English,1186,3,12,8,2
UK-English,1188,5,12,0,2
UK-English,1189,0,6,7,8
UK-English,1190,1,12,8,6
UK-English,1191,1,6,12,3
UK-English,1192,2,9,2,7
UK-English,1193,2,11,4,5
UK-English,1194,2,3,9,3
UK-English,1195,1,12,8,3
UK-English,1196,2,10,5,0
UK-English,1197,2,6,7,3
UK-English,1198,2,10,5,1
UK-English,1199,0,11,5,5
UK-English,1200,1,12,4,1
UK-English,1201,0,6,2,2
UK-English,1202,1,4,11,5
UK-English,1203,2,4,10,5
UK-English,1204,1,1,8,1
UK-English,1205,0,9,7,4
UK-English,1206,0,11,7,1
UK-English,1207,3,5,12,4
UK-English,1208,0,7,8,1
UK-English,1209,0,9,5,11
UK-English,1210,1,11,0,4
UK-English,1212,0,10,1,4
UK-English,1213,0,5,11,4
UK-English,1214,0,8,1,5
UK-English,1215,0,0,7,2
UK-English,1216,0,1,10,2
UK-English,1217,1,1,6,0
UK-English,1218,0,8,8,4
UK-English,1219,1,9,2,3
UK-English,1220,0,5,8,4
UK-English,1221,0,12,9,4
UK-English,1222,1,9,5,2
UK-English,1223,1,4,6,4
UK-English,1224,0,4,9,7
UK-English,1226,1,8,2,6
UK-English,1227,1,7,9,0
UK-English,1229,1,8,9,2
UK-English,1230,0,8,9,2
UK-English,1231,3,10,3,4
UK-English,1233,0,10,6,1
UK-English,1236,0,9,1,8
UK-English,1237,1,4,3,3
UK-English,1238,0,9,10,4
UK-English,1239,0,6,5,4
UK-English,1240,1,7,7,4
UK-English,1242,2,6,3,4
UK-English,1244,0,4,10,7
UK-English,1247,0,12,2,7
UK-English,1248,0,10,4,2
UK-English,1249,4,7,9,1
UK-English,1250,1,12,8,4
UK-English,1251,0,9,5,3
UK-English,1252,0,8,11,5
UK-English,1253,1,9,1,3
UK-English,1254,3,6,6,0
UK-English,1255,1,2,6,7
UK-English,1256,2,9,5,0
UK-English,1257,0,4,2,6
UK-English,1258,2,7,1,7
UK-English,1259,1,1,1,5
UK-English,1260,1,11,3,5
UK-English,1261,0,0,2,3
UK-English,1262,0,12,0,10
UK-English,1263,1,7,10,3
UK-English,1264,1,7,4,1
UK-English,1265,0,12,4,5
UK-English,1266,1,8,7,2
UK-English,1267,1,12,10,3
UK-English,1268,1,8,6,2
UK-English,1269,0,12,3,2
UK-English,1270,1,11,8,5
UK-English,1271,0,11,3,3
UK-English,1272,0,11,7,5
UK-English,1274,0,4,3,3
UK-English,1275,0,5,5,4
UK-English,1276,2,10,5,3
UK-English,1277,0,4,9,6
UK-English,1278,0,7,5,9
UK-English,1279,1,9,5,5
UK-English,1281,1,5,8,2
UK-English,1282,0,6,5,4
UK-English,1283,0,7,8,3
UK-English,1284,0,4,5,8
UK-English,1285,0,11,5,2
UK-English,1286,0,5,9,1
UK-English,1287,2,7,6,4
UK-English,1288,1,9,9,5
UK-English,1289,1,10,5,8
UK-English,1290,0,11,8,2
UK-English,1291,0,6,5,0
UK-English,1292,0,6,2,4
UK-English,1293,1,12,4,2
UK-English,1294,0,5,7,7
UK-English,1295,2,12,8,0
UK-English,1296,1,9,10,1
UK-English,1297,3,12,5,8
UK-English,1298,0,11,9,1
UK-English,1299,0,11,8,3
UK-English,1300,1,11,3,8
UK-English,1301,2,11,3,4
UK-English,1302,2,7,3,3
UK-English,1303,0,3,12,1
UK-English,1304,0,11,7,8
UK-English,1305,2,12,2,2
UK-English,1306,1,12,5,6
UK-English,1307,0,12,3,2
UK-English,1308,2,5,6,3
UK-English,1309,0,9,3,6
UK-English,1310,2,6,4,1
UK-English,1311,1,8,2,7
UK-English,1312,1,12,1,2
UK-English,1313,1,12,8,4
UK-English,1314,2,9,2,3
UK-English,1315,1,10,3,4
UK-English,1316,2,9,10,1
UK-English,1317,2,8,10,3
UK-English,1318,1,5,9,1
UK-English,1320,0,9,10,1
UK-English,1321,1,3,6,6
UK-English,1322,0,7,8,8
UK-English,1324,0,3,7,5
UK-English,1326,0,12,11,3
UK-English,1327,0,10,9,9
UK-English,1328,2,11,6,5
UK-English,1329,0,7,6,8
UK-English,1330,1,5,9,2
UK-English,1331,1,6,8,5
UK-English,1332,1,1,8,4
UK-English,1333,1,6,4,3
UK-English,1334,0,6,9,4
UK-English,1335,0,2,9,1
UK-English,1336,1,5,5,5
UK-English,1337,0,6,5,0
UK-English,1339,1,9,9,3
UK-English,1340,1,9,10,4
UK-English,1343,0,9,5,6
UK-English,1344,2,11,2,1
UK-English,1345,1,11,4,0
UK-English,1346,2,11,11,2
UK-English,1347,0,11,9,1
UK-English,1348,1,7,4,6
UK-English,1350,0,10,1,5
UK-English,1351,1,12,8,5
UK-English,1353,1,12,6,4
UK-English,1354,1,8,4,4
UK-English,1355,1,9,9,0
UK-English,1356,1,9,7,2
UK-English,1357,2,8,1,5
UK-English,1358,1,6,6,8
UK-English,1359,0,6,10,2
UK-English,1360,1,3,10,1
UK-English,1361,1,5,7,0
UK-English,1362,1,9,1,6
UK-English,1363,0,10,3,4
UK-English,1364,3,7,12,3
UK-English,1366,0,2,10,5
UK-English,1367,0,12,8,4
UK-English,1368,2,6,6,3
UK-English,1369,1,6,1,3
UK-English,1370,2,11,1,4
UK-English,1372,0,9,3,1
UK-English,1374,2,12,5,5
UK-English,1375,0,10,7,3
UK-English,1376,0,8,7,5
UK-English,1377,4,12,1,2
UK-English,1378,1,4,5,0
UK-English,1379,0,4,8,3
UK-English,1380,1,10,0,2
UK-English,1381,2,7,8,3
UK-English,1382,1,8,7,0
UK-English,1383,1,3,10,4
UK-English,1384,2,1,7,3
UK-English,1385,0,3,10,1
UK-English,1386,4,3,6,1
UK-English,1387,1,12,7,4
UK-English,1388,0,10,4,3
UK-English,1389,1,5,1,0
UK-English,1390,0,12,5,3
UK-English,1391,0,4,5,1
UK-English,1392,0,7,5,4
UK-English,1393,1,2,6,2
UK-English,1394,0,11,3,3
UK-English,1395,0,6,2,6
UK-English,1396,0,10,5,5
UK-English,1397,1,5,7,1
UK-English,1398,0,5,10,1
UK-English,1399,0,5,7,3
UK-English,1400,0,12,2,5
UK-English,1401,1,10,9,3
UK-English,1402,0,12,3,3
UK-English,1403,1,3,6,5
UK-English,1404,0,4,12,6
UK-English,1406,1,7,7,6
UK-English,1407,0,4,8,5
UK-English,1408,3,7,7,1
UK-English,1410,0,2,10,1
UK-English,1411,2,4,2,0
UK-English,1412,1,8,9,0
UK-English,1413,0,12,8,0
UK-English,1414,0,6,1,3
UK-English,1415,1,9,8,2
UK-English,1416,0,8,7,5
UK-English,1417,1,10,5,3
UK-English,1418,0,12,10,5
UK-English,1419,0,12,2,6
UK-English,1420,2,11,7,1
UK-English,1421,1,5,8,4
UK-English,1422,0,8,8,4
UK-English,1423,0,3,7,3
UK-English,1424,3,3,10,2
UK-English,1425,0,2,3,5
UK-English,1426,2,4,12,5
UK-English,1427,0,9,1,5
UK-English,1428,0,12,9,10
UK-English,1430,0,0,8,1
UK-English,1431,1,10,4,6
UK-English,1432,0,9,11,5
UK-English,1433,1,7,8,8
UK-English,1434,0,5,2,4
UK-English,1435,1,4,7,4
UK-English,1436,0,6,3,7
UK-English,1437,0,5,11,4
UK-English,1438,0,12,4,3
UK-English,1439,0,4,7,4
UK-English,1440,1,11,1,8
UK-English,1441,1,3,8,3
UK-English,1443,0,10,1,3
UK-English,1444,0,6,5,4
UK-English,1445,0,6,10,0
UK-English,1447,0,9,3,3
UK-English,1448,2,12,3,2
UK-English,1449,2,9,1,1
UK-English,1450,0,9,6,4
UK-English,1451,0,10,7,2
UK-English,1452,0,7,3,4
UK-English,1453,0,2,7,5
UK-English,1454,0,2,10,3
UK-English,1455,1,7,8,1
UK-English,1456,0,10,4,7
UK-English,1457,2,7,11,2
UK-English,1458,0,11,3,3
UK-English,1459,0,10,5,3
UK-English,1460,0,3,10,2
UK-English,1461,1,4,10,7
UK-English,1462,1,2,8,2
UK-English,1463,1,10,5,7
UK-English,1464,0,11,5,4
UK-English,1465,0,8,9,7
UK-English,1466,0,3,11,2
UK-English,1467,3,3,9,1
UK-English,1469,0,4,6,4
UK-English,1470,1,1,9,8
UK-English,1471,3,9,8,3
UK-English,1472,0,6,2,10
UK-English,1473,1,12,10,3
UK-English,1474,3,5,10,6
UK-English,1475,0,12,2,1
UK-English,1476,0,1,7,8
UK-English,1477,0,3,12,5
UK-English,1478,0,5,7,3
UK-English,1479,0,12,8,7
UK-English,1480,2,9,6,8
UK-English,1481,1,9,4,8
UK-English,1483,0,7,9,7
UK-English,1484,2,4,8,6
UK-English,1485,1,2,7,6
UK-English,1486,1,9,9,7
UK-English,1487,0,12,8,4
UK-English,1488,2,9,6,3
UK-English,1489,0,11,1,7
UK-English,1490,1,8,4,7
UK-English,1491,0,8,3,3
UK-English,1492,0,5,6,8
UK-English,1493,1,9,4,3
UK-English,1494,1,12,5,7
UK-English,1495,1,0,7,3
UK-English,1496,0,2,6,6
UK-English,1497,2,6,8,6
UK-English,1498,1,4,1,6
UK-English,1499,1,5,3,8
UK-English,1500,1,4,5,4
UK-English,1501,3,12,3,1
UK-English,1502,1,2,6,6
UK-English,1503,2,2,12,4
UK-English,1504,0,9,1,4
UK-English,1505,0,7,5,7
UK-English,1506,0,8,7,5
UK-English,1507,0,12,5,2
UK-English,1508,1,9,2,0
UK-English,1509,0,8,6,5
UK-English,1510,2,1,7,3
UK-English,1511,1,1,12,4
UK-English,1512,0,11,1,6
UK-English,1513,0,0,12,8
UK-English,1514,1,4,12,3
UK-English,1515,2,12,5,3
UK-English,1516,0,10,6,1
UK-English,1517,2,10,5,4
UK-English,1518,1,12,9,6
UK-English,1519,0,7,4,8
UK-English,1521,1,7,10,4
UK-English,1522,1,9,0,6
UK-English,1523,1,8,1,11
UK-English,1524,1,7,4,7
UK-English,1525,0,4,10,8
UK-English,1526,1,10,10,2
UK-English,1527,0,10,12,4
UK-English,1528,0,10,9,3
UK-English,1529,0,2,4,8
UK-English,1530,0,12,12,1
UK-English,1531,0,3,11,5
UK-English,1533,0,12,8,1
UK-English,1534,0,2,4,0
UK-English,1535,0,8,6,8
UK-English,1536,1,4,3,3
UK-English,1537,0,3,7,6
UK-English,1539,0,1,6,5
UK-English,1540,0,9,6,4
UK-English,1541,1,9,9,3
UK-English,1542,1,12,4,2
UK-English,1543,1,0,10,1
UK-English,1545,2,1,10,6
UK-English,1546,0,5,7,7
UK-English,1547,1,9,1,4
UK-English,1548,0,4,10,2
UK-English,1549,3,1,10,6
UK-English,1550,0,10,10,3
UK-English,1551,2,7,5,4
UK-English,1552,1,7,3,10
UK-English,1553,0,9,6,4
UK-English,1554,2,10,11,3
UK-English,1555,0,6,2,3
UK-English,1556,0,7,11,7
UK-English,1557,1,12,9,10
UK-English,1558,0,7,6,7
UK-English,1559,2,1,7,7
UK-English,1560,0,9,5,10
UK-English,1561,0,12,4,6
UK-English,1562,2,11,12,3
UK-English,1563,0,1,4,9
UK-English,1564,0,12,11,7
UK-English,1565,0,10,8,4
UK-English,1566,1,7,12,1
UK-English,1567,0,3,5,2
UK-English,1568,0,1,1,7
UK-English,1569,0,8,4,5
UK-English,1570,2,6,2,4
UK-English,1571,0,4,12,2
UK-English,1572,0,2,11,3
UK-English,1573,1,11,12,2
UK-English,1574,1,7,4,8
UK-English,1575,0,3,12,0
UK-English,1576,0,9,4,5
UK-English,1577,0,8,5,8
UK-English,1578,0,9,9,7
UK-English,1579,0,8,11,4
UK-English,1580,2,7,6,4
UK-English,1581,1,7,6,8
UK-English,1582,1,5,12,7
UK-English,1583,0,7,9,6
UK-English,1584,1,10,11,0
UK-English,1585,0,6,7,8
UK-English,1586,0,3,11,9
UK-English,1587,1,2,8,1
UK-English,1588,0,3,9,9
UK-English,1589,1,4,8,4
UK-English,1590,0,12,9,6
UK-English,1591,0,8,9,9
UK-English,1592,1,8,12,3
UK-English,1593,1,10,12,1
UK-English,1594,0,1,10,8
UK-English,1595,2,9,10,6
UK-English,1596,0,10,3,3
UK-English,1597,0,3,10,8
UK-English,1598,0,5,7,9
UK-English,1599,2,7,2,1
UK-English,1600,0,5,7,1
UK-English,1601,3,10,4,8
UK-English,1602,1,8,4,8
UK-English,1603,3,10,7,10
UK-English,1604,1,4,5,5
UK-English,1605,0,12,4,10
UK-English,1606,2,10,3,4
UK-English,1607,1,10,3,6
UK-English,1608,3,12,3,1
UK-English,1609,2,6,4,1
UK-English,1610,1,12,2,4
UK-English,1611,1,12,5,5
UK-English,1612,1,4,6,8
UK-English,1613,0,7,5,9
UK-English,1614,0,7,8,2
UK-English,1615,4,11,4,0
UK-English,1616,0,9,2,5
UK-English,1617,0,12,6,4
UK-English,1618,1,6,4,5
UK-English,1619,0,12,3,9
UK-English,1620,2,12,1,4
UK-English,1621,0,12,7,9
UK-English,1622,2,3,10,4
UK-English,1623,2,6,7,6
UK-English,1624,0,9,3,5
UK-English,1625,2,11,11,2
UK-English,1626,0,11,12,2
UK-English,1627,1,7,12,0
UK-English,1628,0,11,6,3
UK-English,1629,0,6,10,4
UK-English,1630,2,3,11,8
UK-English,1631,0,5,12,5
UK-English,1632,0,5,11,10
UK-English,1633,1,11,12,2
UK-English,1634,0,5,3,11
UK-English,1635,3,12,4,3
UK-English,1636,0,5,9,6
UK-English,1637,0,10,6,1
UK-English,1638,0,7,0,11
UK-English,1639,0,5,6,4
UK-English,1640,0,7,6,5
UK-English,1641,1,9,7,7
UK-English,1642,0,6,6,6
UK-English,1643,0,8,5,9
UK-English,1644,0,12,3,2
UK-English,1645,0,7,12,10
UK-English,1646,1,0,10,6
UK-English,1647,0,2,0,7
UK-English,1648,0,12,4,5
UK-English,1649,2,12,4,9
UK-English,1650,0,2,7,7
UK-English,1651,3,6,12,2
UK-English,1652,1,12,4,2
UK-English,1653,0,10,8,9
UK-English,1654,0,12,3,6
UK-English,1655,0,11,5,5
UK-English,1656,0,12,9,8
UK-English,1657,0,12,7,3
UK-English,1658,2,3,2,12
UK-English,1659,0,6,4,3
UK-English,1660,1,7,2,2
UK-English,1661,0,5,5,8
UK-English,1662,2,9,7,5
UK-English,1663,1,8,4,6
UK-English,1664,1,5,6,1
UK-English,1665,0,9,6,6
UK-English,1666,3,8,10,2
UK-English,1667,1,12,0,1
UK-English,1668,0,3,5,10
UK-English,1669,0,11,6,3
UK-English,1670,1,7,7,8
UK-English,1671,0,9,8,3
UK-English,1672,0,12,2,10
UK-English,1673,1,12,6,2
UK-English,1674,2,12,12,5
UK-English,1675,0,1,7,7
UK-English,1676,0,9,10,4
UK-English,1677,1,6,12,4
UK-English,1678,0,6,7,5
UK-English,1679,2,8,8,5
UK-English,1680,1,10,5,3
UK-English,1681,0,3,11,2
UK-English,1682,1,9,9,5
UK-English,1683,1,10,10,3
UK-English,1684,4,4,11,0
UK-English,1685,0,9,10,5
UK-English,1686,0,6,3,9
UK-English,1687,2,7,12,6
UK-English,1688,0,6,6,9
UK-English,1689,2,11,10,3
UK-English,1690,0,6,8,5
UK-English,1691,0,12,4,2
UK-English,1692,1,4,8,3
UK-English,1693,0,11,0,7
UK-English,1694,2,11,1,1
UK-English,1695,0,7,7,5
UK-English,1696,0,7,2,2
UK-English,1697,0,11,4,3
UK-English,1698,1,7,0,10
UK-English,1699,1,9,1,4
UK-English,1700,1,4,4,4
UK-English,1701,1,10,7,10
UK-English,1702,0,8,3,4
UK-English,1703,0,7,4,7
UK-English,1704,0,4,7,7
UK-English,1705,1,5,1,6
UK-English,1706,1,10,8,0
UK-English,1707,5,11,2,5
UK-English,1708,0,1,12,6
UK-English,1709,0,6,10,1
UK-English,1710,0,4,8,3
UK-English,1711,0,10,10,3
UK-English,1712,2,0,12,5
UK-English,1713,0,5,11,2
UK-English,1714,1,9,4,5
UK-English,1715,0,0,0,4
UK-English,1716,1,6,4,11
UK-English,1717,0,11,5,7
UK-English,1718,2,9,7,3
UK-English,1719,2,9,11,4
UK-English,1720,0,12,3,4
UK-English,1721,0,10,10,2
UK-English,1722,1,6,10,4
UK-English,1723,1,6,9,2
UK-English,1724,1,3,6,7
UK-English,1725,3,12,3,3
UK-English,1726,0,2,7,0
UK-English,1727,1,7,7,4
UK-English,1728,0,10,6,5
UK-English,1729,2,6,11,3
UK-English,1730,0,11,5,7
UK-English,1731,0,0,12,2
UK-English,1732,2,12,8,5
UK-English,1733,0,12,1,11
UK-English,1734,0,4,5,6
UK-English,1735,0,10,3,8
UK-English,1736,2,12,0,8
UK-English,1737,2,0,3,6
UK-English,1738,1,5,6,9
UK-English,1739,1,11,5,7
UK-English,1740,1,8,3,3
UK-English,1741,0,8,11,4
UK-English,1742,0,7,6,4
UK-English,1743,2,10,3,8
UK-English,1744,0,9,2,2
UK-English,1745,2,10,11,0
UK-English,1746,0,10,9,3
UK-English,1747,1,11,8,6
UK-English,1748,1,10,12,1
UK-English,1749,0,4,6,8
UK-English,1750,0,8,4,9
UK-English,1751,1,4,4,10
UK-English,1752,2,11,10,5
UK-English,1753,1,3,10,1
UK-English,1754,1,12,7,4
UK-English,1755,2,6,10,6
UK-English,1756,1,6,0,3
UK-English,1757,0,10,9,2
UK-English,1758,0,12,6,2
UK-English,1759,0,5,3,10
UK-English,1760,1,4,3,6
UK-English,1761,1,4,5,4
UK-English,1762,2,6,8,3
UK-English,1763,0,5,3,9
UK-English,1764,2,11,6,6
UK-English,1765,0,0,11,1
UK-English,1766,1,7,5,6
UK-English,1767,1,4,6,5
UK-English,1768,1,10,7,3
UK-English,1769,0,9,3,4
UK-English,1770,2,11,12,11
UK-English,1771,1,3,6,9
UK-English,1772,2,11,1,8
UK-English,1773,0,5,10,4
UK-English,1774,0,2,8,3
UK-English,1775,0,1,7,3
UK-English,1776,0,10,9,7
UK-English,1777,1,6,4,6
UK-English,1778,1,6,7,6
UK-English,1779,0,6,7,0
UK-English,1780,0,5,8,3
UK-English,1781,0,3,3,4
UK-English,1782,0,9,6,2
UK-English,1783,2,6,9,2
UK-English,1784,0,7,9,1
UK-English,1785,0,11,8,7
UK-English,1786,1,1,3,8
UK-English,1787,1,10,8,1
UK-English,1788,0,6,5,7
UK-English,1789,0,10,2,10
UK-English,1790,1,10,2,3
UK-English,1791,0,5,9,4
UK-English,1792,1,9,2,2
UK-English,1793,0,4,4,3
UK-English,1794,0,3,3,8
UK-English,1795,1,6,8,5
UK-English,1796,1,12,10,5
UK-English,1797,1,4,7,2
UK-English,1798,0,5,9,7
UK-English,1799,0,10,11,2
UK-English,1800,1,4,5,3
UK-English,1801,2,10,6,1
UK-English,1802,0,3,7,8
UK-English,1803,1,5,5,7
UK-English,1804,0,8,5,8
UK-English,1805,0,3,5,6
UK-English,1806,0,7,7,5
UK-English,1807,0,0,6,4
UK-English,1808,1,10,7,3
UK-English,1809,0,12,7,2
UK-English,1810,0,12,11,3
UK-English,1811,0,8,12,0
UK-English,1812,1,12,4,5
UK-English,1813,3,8,9,7
UK-English,1814,2,12,4,4
UK-English,1815,0,8,6,2
UK-English,1816,2,1,8,3
UK-English,1817,1,8,9,7
UK-English,1818,4,10,3,4
UK-English,1819,0,12,3,3
UK-English,1820,1,10,3,2
UK-English,1821,0,8,3,9
UK-English,1822,0,9,7,0
UK-English,1823,0,3,11,5
UK-English,1824,2,8,7,9
UK-English,1825,1,10,3,3
UK-English,1826,2,12,2,0
UK-English,1827,0,8,4,1
UK-English,1828,2,5,11,1
UK-English,1829,0,12,6,4
UK-English,1830,0,2,5,6
UK-English,1831,0,6,5,7
UK-English,1832,0,4,4,9
UK-English,1833,0,12,3,6
UK-English,1834,0,5,2,8
UK-English,1835,1,4,6,5
UK-English,1836,4,11,5,5
UK-English,1837,1,10,5,4
UK-English,1838,0,4,11,7
UK-English,1839,0,12,3,1
UK-English,1840,3,11,7,9
UK-English,1841,4,11,0,3
UK-English,1842,1,12,5,5
UK-English,1843,0,2,12,7
UK-English,1844,1,1,10,2
UK-English,1845,0,8,9,2
UK-English,1846,0,5,5,4
UK-English,1847,0,11,6,9
UK-English,1848,2,10,11,2
UK-English,1849,0,12,0,3
UK-English,1850,0,7,11,2
UK-English,1851,0,3,9,6
UK-English,1852,0,10,0,6
UK-English,1853,2,12,10,5
UK-English,1854,1,6,11,6
UK-English,1855,1,6,7,4
UK-English,1856,2,4,7,4
UK-English,1857,2,2,11,9
UK-English,1858,0,10,3,2
UK-English,1859,0,4,10,7
UK-English,1860,1,6,11,7
UK-English,1861,0,12,1,3
UK-English,1862,0,9,3,10
UK-English,1863,0,10,7,4
UK-English,1864,3,12,1,7
UK-English,1865,0,9,11,5
UK-English,1866,0,9,5,8
UK-English,1867,1,8,9,8
UK-English,1868,0,5,8,8
UK-English,1869,0,11,10,5
UK-English,1870,4,8,10,1
UK-English,1871,1,8,5,9
UK-English,1872,0,8,3,3
UK-English,1873,1,11,6,8
UK-English,1874,1,11,7,8
UK-English,1875,1,5,4,3
UK-English,1876,0,3,4,3
UK-English,1877,0,10,10,3
UK-English,1878,3,9,10,1
UK-English,1879,1,8,11,3
UK-English,1880,0,5,6,2
UK-English,1881,0,3,3,4
UK-English,1882,3,10,4,4
UK-English,1883,1,11,12,7
UK-English,1884,1,9,7,1
UK-English,1885,0,4,2,2
UK-English,1886,0,9,7,4
UK-English,1887,1,7,7,7
UK-English,1888,0,6,5,9
UK-English,1889,5,4,10,1
UK-English,1890,0,11,2,2
UK-English,1891,3,12,3,3
UK-English,1892,0,10,8,7
UK-English,1893,2,12,1,6
UK-English,1894,1,12,8,4
UK-English,1895,0,7,9,3
UK-English,1896,0,4,10,2
UK-English,1897,0,7,10,2
UK-English,1898,1,11,7,2
UK-English,1899,3,11,5,3
UK-English,1900,1,4,3,9
UK-English,1901,2,7,6,5
UK-English,1902,3,10,7,6
UK-English,1903,0,2,4,2
UK-English,1904,2,6,2,9
UK-English,1905,0,8,5,7
UK-English,1906,2,11,9,8
UK-English,1907,0,2,10,4
UK-English,1908,1,9,6,6
UK-English,1909,0,9,8,5
UK-English,1910,2,5,10,3
UK-English,1911,0,5,9,8
UK-English,1912,0,5,5,10
UK-English,1913,0,7,8,2
UK-English,1914,0,10,0,5
UK-English,1915,1,7,3,8
UK-English,1916,1,8,7,2
UK-English,1917,0,5,10,6
UK-English,1918,2,4,4,4
UK-English,1919,2,12,4,7
UK-English,1920,1,6,8,7
UK-English,1921,0,9,3,5
UK-English,1922,1,10,10,1
UK-English,1923,0,10,12,2
UK-English,1924,0,6,2,7
UK-English,1925,0,3,11,6
UK-English,1926,0,12,1,5
UK-English,1927,0,5,9,6
UK-English,1928,0,9,9,3
UK-English,1929,0,10,11,7
UK-English,1930,0,6,7,2
UK-English,1931,0,5,10,4
UK-English,1932,2,11,6,1
UK-English,1933,1,11,9,8
UK-English,1934,0,10,2,4
UK-English,1935,0,9,10,3
UK-English,1936,0,11,8,4
UK-English,1937,1,10,6,7
UK-English,1938,2,10,10,4
UK-English,1939,0,4,11,5
UK-English,1940,0,3,9,6
UK-English,1941,1,8,5,6
UK-English,1942,0,2,11,6
UK-English,1943,0,10,7,11
UK-English,1944,1,4,11,6
UK-English,1945,1,8,10,0
UK-English,1946,0,8,5,3
UK-English,1947,0,3,9,0
UK-English,1948,1,11,11,3
UK-English,1949,0,12,7,9
UK-English,1950,2,7,5,5
UK-English,1951,0,8,7,10
UK-English,1952,1,8,10,0
UK-English,1953,0,8,6,12
UK-English,1954,0,6,10,2
UK-English,1955,0,3,9,7
UK-English,1956,0,3,7,9
UK-English,1957,0,10,2,2
UK-English,1958,0,4,10,4
UK-English,1959,0,12,1,8
UK-English,1960,0,6,11,4
UK-English,1961,0,7,8,4
UK-English,1962,0,5,9,10
UK-English,1963,1,11,8,6
UK-English,1964,2,10,6,4
UK-English,1965,0,4,3,6
UK-English,1966,0,8,10,0
UK-English,1967,0,9,11,1
UK-English,1968,0,10,6,2
UK-English,1969,0,7,11,10
UK-English,1970,2,8,12,4
UK-English,1971,1,12,9,4
UK-English,1972,2,12,9,4
UK-English,1973,0,3,8,3
UK-English,1974,3,12,7,2
UK-English,1975,1,4,9,6
UK-English,1976,2,7,8,6
UK-English,1977,2,8,12,8
UK-English,1978,3,4,5,6
UK-English,1979,1,3,9,4
UK-English,1980,1,1,8,9
UK-English,1981,0,12,2,8
UK-English,1982,2,7,12,8
UK-English,1983,0,9,9,7
UK-English,1984,0,5,8,8
UK-English,1985,2,5,4,7
